mission_type,mission_seed,fault_label,timestamp_s,true_cht,sensor_cht,egt,rpm,oil_pressure,oil_temp,fuel_flow,vibration,battery_voltage,injection_timing,health_index,altitude,ambient_temp,throttle,fault_type,fault_severity,rul_seconds
endurance,200,injector,1413.0,84.27357694344292,84.00426307601788,637.0255031045833,1511.9441220524388,66.5942548867712,30.456279598650994,4.904599855616775,0.1574715532072784,12.878728257772778,17.53095325404073,0.6927488810858915,3000.0,-4.5,0.45,injector,0.383,805.5
endurance,200,injector,1414.0,84.2876711931249,83.66235828515602,637.5626757980199,1518.3432672096324,66.06732392582184,31.52189612623992,4.925836916659139,0.19531484700430896,12.895108952579754,17.633270887653243,0.6926436116557746,3000.0,-4.5,0.45,injector,0.384,804.5
endurance,200,injector,1415.0,84.30253077303011,84.74884234503686,629.7275590221506,1514.204297000643,66.39874668643783,29.749191831706742,4.927723639845134,0.11584516305292485,12.9353569450565,17.507212437382382,0.6925336662493259,3000.0,-4.5,0.45,injector,0.384,803.5
endurance,200,injector,1416.0,84.31258892974809,84.55730127299041,633.8740078941858,1523.850875412495,66.93476310411856,30.721370805928704,4.900270615379108,0.21574457803981048,12.923527968875305,17.414618793494714,0.6924530563381956,3000.0,-4.5,0.45,injector,0.385,802.5
endurance,200,injector,1417.0,84.32520712455232,84.9753485740063,632.4784401571076,1519.6726162379425,67.03820214902717,30.628438223987693,4.911139869476468,0.2844411882189883,13.043236789739844,17.79253622723112,0.692356805234368,3000.0,-4.5,0.45,injector,0.386,801.5
endurance,200,injector,1418.0,84.33911096560328,83.26264076559298,634.1829366613173,1511.0299299204758,66.83843124647217,30.451152059879277,4.915585424680849,0.23359928562844492,12.953758312770722,17.55788440143071,0.6922526991533842,3000.0,-4.5,0.45,injector,0.387,800.5
endurance,200,injector,1419.0,84.3510446902774,84.74591753468428,630.2824799687879,1515.170194292582,66.5614087107244,29.295136440268895,4.903003089820428,0.15727868416552704,12.951747583249011,18.07712903438685,0.692160629990934,3000.0,-4.5,0.45,injector,0.387,799.5
endurance,200,injector,1420.0,84.3634802249514,84.11675575740502,630.5779116172002,1515.954017837351,65.10375468570614,30.7709537929909,4.9032226314175,0.29991282686733145,12.866774429590603,17.67103003681064,0.6920654948948368,3000.0,-4.5,0.45,injector,0.388,798.5
endurance,200,injector,1421.0,84.3821957319534,84.15015118833064,632.7322162534939,1527.7251253269874,66.93803627935434,30.253785477901353,4.933956432198178,0.22542292145602771,12.960594158890737,17.690825629750577,0.6919319907378089,3000.0,-4.5,0.45,injector,0.389,797.5
endurance,200,injector,1422.0,84.40054367420002,85.75596510728928,631.7463977716911,1524.9361471051425,66.4989869883551,29.64941500111622,4.930422047281051,0.14612686048275098,12.888402726046253,17.297796295558893,0.6918007323095449,3000.0,-4.5,0.45,injector,0.39,796.5
endurance,200,injector,1423.0,84.4178221361648,84.58765571385797,632.3772635508266,1532.0365766579916,66.51656348125336,29.904783728060675,4.92314810880025,0.2533014613369711,12.919759798360845,17.337623426807504,0.691676008138433,3000.0,-4.5,0.45,injector,0.39,795.5
endurance,200,injector,1424.0,84.43117668143965,84.59530507073376,631.5039917705245,1521.5716453412733,66.21139751260843,30.869085989820032,4.9007295554446735,0.12985167660742625,12.890027601886358,17.716141086232774,0.6915752581173173,3000.0,-4.5,0.45,injector,0.391,794.5
endurance,200,injector,1425.0,84.44417059982091,85.37040538078864,632.8615582240993,1522.4985565193604,65.89341760501772,30.831247648344963,4.896578951520797,0.2187339231456233,12.968144977086494,17.581569913465177,0.6914767114363649,3000.0,-4.5,0.45,injector,0.392,793.5
endurance,200,injector,1426.0,84.45509293800633,84.2407043647542,634.6935928109539,1513.3642476416796,65.87167028777445,31.389982888892675,4.883395549950897,0.2780149253253115,12.925746546902952,17.88752649374478,0.6913908215925139,3000.0,-4.5,0.45,injector,0.393,792.5
endurance,200,injector,1427.0,84.4646084900562,85.1246958074236,632.1025932802078,1503.4507477958318,66.63815407330581,30.50065992257134,4.873457466591307,0.198298823442483,12.964148777296417,17.6553805382639,0.6913135268602546,3000.0,-4.5,0.45,injector,0.393,791.5
endurance,200,injector,1428.0,84.47185185158985,84.2641254100391,632.3978448618669,1505.4381800956112,64.7866710638169,30.684374834577095,4.858811526234517,0.1927717649158275,12.97506174787954,17.247535092357552,0.6912501146440018,3000.0,-4.5,0.45,injector,0.394,790.5
endurance,200,injector,1429.0,84.47914947075498,84.48624144199445,633.4866870511388,1506.7702035545062,66.51208114378603,30.080831719952233,4.856098376105348,0.25960618610349473,12.965209781541592,17.552953566903714,0.691186370927185,3000.0,-4.5,0.45,injector,0.395,789.5
endurance,200,injector,1430.0,84.49089588971827,84.49395854241224,632.336386681744,1513.2222443096555,66.07841662307217,31.060795868459607,4.8764257751146465,0.22488905847984264,12.954540488267646,17.70616856942463,0.6910954461558014,3000.0,-4.5,0.45,injector,0.396,788.5
endurance,200,injector,1431.0,84.50044624754102,84.4223744431548,630.6840139274304,1516.2197378950548,66.17037302712133,30.87799205826908,4.862473554282146,0.2716330199882302,12.830126842088498,17.134426461054684,0.6910179387689713,3000.0,-4.5,0.45,injector,0.397,787.5
endurance,200,injector,1432.0,84.51414759374747,84.71515824462148,633.9862983873251,1522.8174844696894,66.58548479188944,29.982361131482577,4.881487851921561,0.21952651534020365,12.782894941661256,17.530382496754903,0.6909150698808637,3000.0,-4.5,0.45,injector,0.397,786.5
endurance,200,injector,1433.0,84.52448844483243,84.5497586053858,634.0810724403781,1517.1614171458414,66.32542710835878,30.22690872242439,4.86169566637028,0.20341411895876568,12.945412502397325,17.946993175917417,0.6908327327778249,3000.0,-4.5,0.45,injector,0.398,785.5
endurance,200,injector,1434.0,84.5364234903715,83.98196330962858,630.6228961002444,1514.9289000610368,65.82946343372778,31.30599660145701,4.867411684840788,0.2300389721434287,12.968731786093871,17.448684412215172,0.6907406555452199,3000.0,-4.5,0.45,injector,0.399,784.5
endurance,200,injector,1435.0,84.549220003037,84.24109008327504,636.7512479773915,1513.8100352704832,67.24972410692513,31.05878242550634,4.869487472325297,0.19940972954743258,12.90807869003648,17.735319811591474,0.6906433149638393,3000.0,-4.5,0.45,injector,0.4,783.5
endurance,200,injector,1436.0,84.56136231416639,84.84732755663508,633.4573169427033,1515.0890609573835,66.01050409694126,30.463754773137868,4.863750275308031,0.1404158562701519,12.98261510505749,17.62076528411412,0.6905499713902938,3000.0,-4.5,0.45,injector,0.4,782.5
endurance,200,injector,1437.0,84.57471837976557,84.07360538063539,632.1879417173532,1517.6889783979163,66.15113878295641,30.560136411599085,4.8676841856399,0.1942624025212262,12.841729456413532,17.937329131110268,0.6904492120803767,3000.0,-4.5,0.45,injector,0.401,781.5
