mission_type,mission_seed,fault_label,timestamp_s,true_cht,sensor_cht,egt,rpm,oil_pressure,oil_temp,fuel_flow,vibration,battery_voltage,injection_timing,health_index,altitude,ambient_temp,throttle,fault_type,fault_severity,rul_seconds
hot_weather,9,healthy,0.0,28.41634237623879,28.409900997865893,545.0569587498135,1921.4004344640675,69.0576951477557,25.546002505803724,19.734631975902747,0.18796597107486637,13.150892038216028,19.776786739387116,0.8581732973813023,8.0,29.94799999999998,0.9,none,0.0,
hot_weather,9,healthy,1.0,31.92478409536287,32.07312520421857,552.9867459653505,2086.6035629356757,71.39908681165703,27.382335314797857,21.295578215893386,0.15496394142916559,13.290259391248602,20.348023461057036,0.8542798041835044,16.0,29.896000000000015,0.9,none,0.0,
hot_weather,9,healthy,2.0,35.46833681845664,35.48431587693999,558.3376218300313,2184.8660570982443,72.38030257885237,27.26850513512886,22.360416803347857,0.21043885006136107,13.387235977683725,20.135054233486436,0.850347346549051,24.0,29.843999999999994,0.9,none,0.0,
hot_weather,9,healthy,3.0,39.00849270508585,38.96719883477508,567.6631576922629,2241.9330946729774,72.30901009669417,28.174716645170058,23.08443642389281,0.21346576884805096,13.34126065866241,19.581644645291906,0.8464186585538643,32.0,29.791999999999973,0.9,none,0.0,
hot_weather,9,healthy,4.0,42.51943326603149,43.21413363221241,563.0037715477984,2304.556103751588,72.95649576944855,29.35010981752191,23.57432020225456,0.181209347655453,13.448303503300984,20.260762088616108,0.8425223922663548,40.0,29.74000000000001,0.9,none,0.0,
hot_weather,9,healthy,5.0,45.984048330294186,45.66468345234544,572.0612681529592,2332.6613348195683,73.25616272654982,29.621791576950137,23.9033592956254,0.10128644874382324,13.512568242491666,19.969939431639276,0.8386775356987893,48.0,29.687999999999988,0.9,none,0.0,
hot_weather,9,healthy,6.0,49.391199456593974,49.06034610021729,576.4323056322194,2357.3285728932738,74.56027996017772,29.95957992669273,24.121904618645427,0.06033148974823996,13.42781961518276,19.868762682777625,0.8348964497363782,56.0,29.636000000000024,0.9,none,0.0,
hot_weather,9,healthy,7.0,52.7338388916111,52.48696548465817,577.447360198895,2376.6785800204893,75.06173191970254,30.732179652822335,24.264547168183043,0.21698755761917252,13.460087868105045,20.331940723392613,0.8311869556233679,64.0,29.584000000000003,0.9,none,0.0,
hot_weather,9,healthy,8.0,56.00771670797232,56.06248170538804,580.3699878255569,2388.1415876218534,74.27953335740047,32.831356511730945,24.355050898780064,0.17670908138545477,13.39864564915874,19.923377115850318,0.8275537697166611,72.0,29.531999999999982,0.9,none,0.0,
hot_weather,9,healthy,9.0,59.210492307379035,59.291991585994005,590.8264834283581,2397.7666141056734,73.21898480743572,33.779037084078105,24.40974160238306,0.16734912954078862,13.452729588581315,20.16964423290238,0.8239994894952194,80.0,29.480000000000018,0.9,none,0.0,
hot_weather,9,healthy,10.0,62.34112391653791,62.36442808303703,591.7957343243841,2391.6932463058824,74.7367755543827,34.08137495299063,24.439835064512682,0.1802258874665114,13.453407410878919,20.184956833956054,0.8205252710669554,88.0,29.427999999999997,0.9,none,0.0,
hot_weather,9,healthy,11.0,65.39944919510691,65.63939875217393,595.6277053514134,2397.6624535202227,73.44334154864943,35.320262760946434,24.453036504462347,0.2527459254625773,13.483719788452092,20.0479451001337,0.8171312945890634,96.0,29.375999999999976,0.9,none,0.0,
hot_weather,9,healthy,12.0,68.38589722530668,68.96325927432841,600.6873257609075,2409.9273763401957,74.5387564033311,35.37646721481259,24.45463938845471,0.24070674088172428,13.472269944347298,20.194172240255305,0.8138170838875491,104.0,29.324000000000012,0.9,none,0.0,
hot_weather,9,healthy,13.0,71.30129081876872,71.10040843848775,609.1228906778782,2399.843872942672,74.57674560760948,36.292373410736985,24.44828031263306,0.21354036227113996,13.344592198671696,20.1359909782929,0.8105817258472048,112.0,29.27199999999999,0.9,none,0.0,
hot_weather,9,healthy,14.0,74.14671090900775,75.16211130672525,606.8453565151359,2400.569910056818,73.70896829936275,37.83286886447627,24.436457606480218,0.1710680670653873,13.577932922109754,19.94401805142993,0.807424020902062,120.0,29.220000000000027,0.9,none,0.0,
hot_weather,9,healthy,15.0,76.92340362046286,76.41512315758077,609.91290168823,2414.687538886205,73.8412793830796,38.405107689030594,24.42088761250046,0.21056052605115197,13.527799233513674,20.216375925572553,0.8043425861655247,128.0,29.168000000000006,0.9,none,0.0,
hot_weather,9,healthy,16.0,79.63271667055544,79.69424960173365,612.0243777400831,2410.083969926217,74.08437073964886,39.12235638452019,24.40274944973534,0.14547112570152212,13.473215063216204,19.88032390824575,0.8013359260081844,136.0,29.115999999999985,0.9,none,0.0,
hot_weather,9,healthy,17.0,82.2760559312415,82.7859539161031,620.4990856621553,2403.0015224512176,74.3325217388758,39.719723906405434,24.382853165847823,0.2130956449111724,13.511130121604557,20.247446025568983,0.798402480263638,144.0,29.06400000000002,0.9,none,0.0,
hot_weather,9,healthy,18.0,84.85485584342766,84.72457930397893,618.8322300206906,2398.9443745880853,74.6632527663567,39.519406041626794,24.361755257279622,0.1486384614554149,13.435839246491575,20.158763834414398,0.7955406570610895,152.0,29.012,0.9,none,0.0,
hot_weather,9,healthy,19.0,87.3705593486032,86.97122854480726,619.2270128614277,2402.0594176003883,73.78216970510216,40.5854418310514,24.33983803136673,0.21876319420307044,13.55957638828326,20.377996949423334,0.792748855096221,160.0,28.95999999999998,0.9,none,0.0,
hot_weather,9,healthy,20.0,89.82460435708886,90.00180281447473,628.9973384955156,2402.493307121401,74.00760206991839,41.880940558828605,24.317364127945822,0.1337188284498726,13.45045281790646,20.076975780729953,0.790025478648054,168.0,28.908000000000015,0.9,none,0.0,
hot_weather,9,healthy,21.0,92.21841470389407,91.31569906363563,632.4484591851159,2402.144559756882,74.6324163191871,42.162395962562854,24.294513975578585,0.1483597643608472,13.43431238885186,20.18622582631437,0.7873689476156869,176.0,28.855999999999995,0.9,none,0.0,
hot_weather,9,healthy,22.0,94.5533941836398,94.03801822620484,631.5220993032408,2400.3344942432623,73.72409784530696,43.33437180280669,24.271411523892834,0.24735936089541702,13.413932533190975,19.763011702769546,0.784777704138039,184.0,28.803999999999974,0.9,none,0.0,
hot_weather,9,healthy,23.0,96.83092269632067,96.7606329547092,633.4252930323438,2401.539119084073,74.08489166926793,44.23305759507375,24.24814192164002,0.16742198850974763,13.551103320401637,20.104957927555503,0.7822502168710914,192.0,28.75200000000001,0.9,none,0.0,
hot_weather,9,healthy,24.0,99.05235383839404,98.87274324800454,640.2873987173159,2399.4056582642665,73.5310737840291,43.96123551566466,24.224763661477372,0.22406742204957264,13.534088463695516,19.94838720772743,0.7780232144692052,200.0,28.69999999999999,0.9,none,0.0,
hot_weather,9,healthy,25.0,101.21901348179614,101.83412974294936,648.090674577816,2395.360649250866,73.53950124565928,45.6904780023251,24.201316923402768,0.21940302681921195,13.49018323480137,20.324902654600677,0.7645254657129295,208.0,28.648000000000025,0.9,none,0.0,
hot_weather,9,healthy,26.0,103.33219902655945,102.83105105212351,644.3596562849053,2406.899573538591,74.16249539248751,45.525769594804046,24.177829306672322,0.24213300132787358,13.465722526435803,20.12396714795977,0.7513544303308117,216.0,28.596000000000004,0.9,none,0.0,
hot_weather,9,healthy,27.0,105.39317911106568,105.25232144122756,653.2618908927857,2396.8485806261265,74.43044865965699,46.459203142555516,24.154319767612545,0.24148749273196785,13.371178853822705,19.829889632050552,0.7385023572594996,224.0,28.543999999999983,0.9,none,0.0,
hot_weather,9,healthy,28.0,107.40319363158785,106.91136115398292,654.634915149265,2402.896270689398,73.51612053681121,45.69170775743386,24.13080132488604,0.19382555618057937,13.454284755313495,20.211497367426993,0.7259616710427395,232.0,28.49200000000002,0.9,none,0.0,
hot_weather,9,healthy,29.0,109.36345396926068,108.86026676560475,657.0009293938942,2399.8665035387803,73.98122491271181,46.779192203280196,24.107282918001474,0.18628770602737282,13.56494589423267,20.450596292582873,0.7137249704446429,240.0,28.439999999999998,0.9,none,0.0,
hot_weather,9,healthy,30.0,111.27514335457349,111.33592070013499,661.798649993172,2403.8882548008737,74.2877467561196,48.12027233385997,24.08377068410423,0.1812393002506579,13.422715871022666,20.13377787193269,0.7017850262227279,248.0,28.387999999999977,0.9,none,0.0,
hot_weather,9,healthy,31.0,113.13941732144707,113.12191612056375,659.5270818646081,2409.4107240180115,74.41871649347839,49.03131519576869,24.0602688351279,0.1805309092543445,13.425453219233622,20.150939036155535,0.6901347783536222,256.0,28.336000000000013,0.9,none,0.0,
hot_weather,9,healthy,32.0,114.95740421805422,114.48544944763209,662.1835321025632,2405.214042835424,73.45616406876414,49.30918245539336,24.03678026039434,0.16558860182364454,13.463289215111388,19.85414016901427,0.6787673329120765,264.0,28.283999999999992,0.9,none,0.0,
hot_weather,9,healthy,33.0,116.73020575192221,116.13352974455023,665.1746421065468,2398.978798066421,74.20773709010962,50.124053571374624,24.013306940598266,0.23218267943788917,13.470121123838599,19.746740352171706,0.6676759587405268,272.0,28.232000000000028,0.9,none,0.0,
hot_weather,9,healthy,34.0,118.458897553987,118.30770135320081,670.9020028651107,2402.810725224316,73.71805079976765,49.88419886961839,23.989850232212977,0.14707920946771505,13.47235789041001,20.01043202631007,0.6568540840028613,280.0,28.180000000000007,0.9,none,0.0,
hot_weather,9,healthy,35.0,120.14452975116971,119.20004655298645,664.3175313774053,2398.822375728105,74.00924128952916,51.01068277111702,23.96641106287643,0.18972578937388165,13.50362754291095,20.040333781041795,0.6462952926861241,288.0,28.127999999999986,0.9,none,0.0,
